Name,place_id,state_id,Total Population,Median Household Income,Per capita income,Under 5yo %,Under 18yo %,Over 65yo %,Female %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Two or more races %,Hispanic or Latino %,"White alone, not Hispanic or Latino %",Foreign born %,Total Housing Units,Owner-occupied Housing Units,Median value of owner-occupied housing units,Median selected monthly owner costs - with mortgage,Median selected monthly owner costs - without mortgage,Median gross rent,Total households,Persons per household,Living in the same house 1 year ago %,Language other than English spoken at home %,Households with computer %,Households with internet %,High school graduate or higher %,Bachelor's degree or higher %,18-64yo with disability %,Without health insurance %,In labor force over 16yo %,In labor force females over 16yo %,Mean travel time to work (minutes),People in poverty %
"Norridge village, Illinois",53377,17,15294,80911,40792,4.5,17.6,3330,52.6,91.0,1.6,0.8,4.6,0.0,2.6,8.7,84.1,36.5,6189,4884,313900,2023,722,1437,5880,2.53,95.9,53.5,87.5,79.7,87.9,26.2,4.3,7.6,59.6,51.3,34.3,3.1
"Norris village, Illinois",53390,17,260,53438,23387,2.3,39.2,32,58.5,99.2,0.0,0.0,0.8,0.0,1.2,0.0,98.1,0.0,97,74,59400,829,385,731,85,3.06,91.1,0.4,72.9,74.1,91.8,6.1,7.1,4.2,71.4,65.7,12.0,8.1
"Norris City village, Illinois",53403,17,1327,42900,20476,6.0,34.9,165,50.4,99.5,1.1,0.0,0.0,0.0,1.0,0.0,98.6,0.3,551,345,58300,717,284,545,502,2.60,78.2,0.0,78.7,72.9,90.4,9.7,13.3,2.3,61.5,62.5,26.7,32.1
"North Aurora village, Illinois",53442,17,17892,88727,42939,5.3,21.9,2241,50.2,84.1,8.7,1.1,4.6,0.0,6.2,14.7,71.5,12.2,7124,5140,262000,2062,805,1342,6925,2.55,86.7,19.7,97.2,93.5,93.7,38.6,7.1,7.0,71.4,66.7,30.1,6.4
"Northbrook village, Illinois",53481,17,35108,143506,78195,4.8,21.3,8309,52.2,83.0,1.1,0.0,16.3,0.2,2.2,3.4,78.8,19.6,14945,11721,571400,3277,1287,1930,13395,2.57,91.9,23.9,96.0,94.3,98.2,71.9,4.4,1.6,60.3,55.1,29.0,3.5
"North Chicago city, Illinois",53559,17,30619,47884,23116,5.5,18.4,1920,39.9,53.1,28.9,2.9,7.9,0.5,11.7,35.4,29.7,16.6,8721,2585,117300,1432,605,1297,7735,2.61,62.1,32.5,92.1,85.6,81.7,23.3,9.9,13.7,76.2,64.8,16.8,21.4
"North City village, Illinois",53585,17,687,55000,34058,5.1,11.4,182,46.0,99.3,0.9,0.9,0.0,0.0,1.9,0.1,97.4,0.3,353,284,95900,929,445,744,318,2.16,92.3,1.4,86.8,83.6,93.4,9.9,23.4,10.8,53.2,52.4,20.8,11.2
"Northfield village, Illinois",53663,17,5853,160331,107453,4.9,25.8,1376,54.8,96.2,0.8,0.2,4.6,0.0,2.6,5.1,88.8,12.2,2582,2192,743600,3621,1501,2452,2383,2.46,93.0,15.3,97.9,96.0,99.8,78.2,4.0,2.6,55.4,38.9,30.5,7.7
"North Henderson village, Illinois",53793,17,207,76250,37761,5.8,18.8,25,37.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,86,67,82500,927,375,738,72,2.88,64.5,0.0,87.5,83.3,94.2,20.3,12.6,12.1,60.4,67.2,27.1,2.4
"Northlake city, Illinois",53871,17,12836,64792,26221,3.2,22.6,1822,52.2,65.4,4.5,1.3,2.5,0.0,14.6,61.3,32.1,29.2,4697,3044,201900,1707,673,988,4481,2.79,94.5,55.9,91.0,82.7,74.7,15.3,11.7,13.2,62.3,57.9,27.9,12.1
"North Pekin village, Illinois",54092,17,1589,69244,32816,3.3,20.1,233,50.5,97.9,1.1,0.4,1.0,0.0,0.6,0.1,97.5,1.3,714,573,95500,1054,423,850,656,2.42,98.4,2.0,91.9,89.9,92.4,17.8,11.6,4.7,72.2,67.1,18.6,12.6
