Name,place_id,state_id,Total Population,Median Household Income,Per capita income,Under 5yo %,Under 18yo %,Over 65yo %,Female %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Two or more races %,Hispanic or Latino %,"White alone, not Hispanic or Latino %",Foreign born %,Total Housing Units,Owner-occupied Housing Units,Median value of owner-occupied housing units,Median selected monthly owner costs - with mortgage,Median selected monthly owner costs - without mortgage,Median gross rent,Total households,Persons per household,Living in the same house 1 year ago %,Language other than English spoken at home %,Households with computer %,Households with internet %,High school graduate or higher %,Bachelor's degree or higher %,18-64yo with disability %,Without health insurance %,In labor force over 16yo %,In labor force females over 16yo %,Mean travel time to work (minutes),People in poverty %
"East Galesburg village, Illinois",21826,17,595,65703,45064,3.4,13.8,169,48.2,99.7,1.5,0.5,1.2,0.0,3.5,0.2,96.0,1.2,317,228,108800,1108,569,683,291,2.04,97.5,1.6,88.7,82.8,91.9,21.0,11.9,2.7,62.5,58.0,19.7,7.2
"East Gillespie village, Illinois",21852,17,269,69286,38635,2.6,12.3,108,49.8,96.7,2.6,0.4,0.7,0.0,0.7,0.4,96.3,0.0,135,109,106300,1347,388,794,120,2.24,97.8,0.4,80.0,79.2,97.7,21.2,14.1,4.8,50.8,45.8,24.3,1.9
"East Hazel Crest village, Illinois",21904,17,1326,51121,31600,5.6,15.5,290,55.9,37.7,56.3,0.8,0.5,0.0,3.5,19.4,24.1,7.8,565,332,116200,1332,662,1296,530,2.50,94.1,19.6,88.7,73.0,84.4,22.7,10.1,10.8,62.7,50.1,30.5,8.9
"East Moline city, Illinois",22073,17,21181,55529,25324,6.6,24.8,3443,50.4,71.8,21.7,0.9,3.0,0.0,6.0,18.6,57.8,11.9,8790,5386,117600,1138,545,741,8163,2.39,85.6,21.4,91.7,87.7,84.7,19.1,12.1,7.6,58.2,60.1,20.5,14.0
"Easton village, Illinois",22151,17,265,65313,28870,7.5,24.2,47,60.4,100.0,0.0,0.0,0.4,0.0,0.8,0.0,99.2,0.0,115,90,70900,917,398,788,105,2.52,99.2,0.4,79.0,76.2,90.1,6.6,12.3,9.4,58.9,51.4,31.1,4.9
"East Peoria city, Illinois",22164,17,22707,68246,35578,5.9,20.1,4424,49.2,95.6,1.9,0.5,3.1,0.0,2.0,2.2,92.2,2.5,10697,7009,146500,1400,581,766,9658,2.31,88.8,3.8,91.7,85.3,92.8,26.8,9.2,3.0,63.7,59.7,18.4,10.6
"East St. Louis city, Illinois",22255,17,19437,26011,18132,4.8,19.6,4107,57.0,1.9,97.2,0.0,1.6,0.1,0.9,1.2,1.7,1.1,10728,3919,57800,949,420,609,7644,2.53,94.3,1.0,78.8,61.8,83.1,11.7,20.3,6.6,51.0,51.5,24.0,29.3
"Edgewood village, Illinois",22567,17,420,48750,23041,9.8,18.1,88,48.3,96.4,0.0,1.7,3.1,0.0,1.2,1.0,94.8,3.1,222,145,57100,1012,330,596,189,2.22,94.0,2.6,83.1,78.3,83.4,5.4,19.5,12.4,63.0,60.9,26.6,10.6
"Edinburg village, Illinois",22645,17,1178,61250,31343,6.1,20.7,209,47.3,97.8,2.9,0.8,0.0,0.0,1.7,0.0,96.1,0.0,533,350,93400,939,468,725,458,2.57,92.8,0.8,93.9,86.7,92.8,17.8,8.2,4.2,62.2,54.7,24.4,14.9
"Edwardsville city, Illinois",22697,17,25236,78298,39001,5.7,20.4,2652,52.3,87.9,10.4,0.7,3.4,0.0,3.8,2.3,83.5,3.1,9280,5562,247000,1877,766,1058,8552,2.57,74.0,4.8,98.1,89.6,96.5,55.5,6.9,4.3,61.9,60.7,25.0,14.3
"Effingham city, Illinois",22736,17,12218,56242,30960,6.8,23.1,2310,54.4,96.1,2.4,0.1,1.5,0.0,2.1,4.5,91.4,4.2,5564,3275,151400,1112,494,662,5225,2.27,80.7,5.8,92.2,85.9,91.1,21.5,13.2,6.1,65.0,57.5,13.6,17.7
"Elburn village, Illinois",22931,17,5981,99877,39916,5.5,33.8,788,48.8,99.9,2.6,0.0,0.0,0.0,2.6,14.0,83.4,0.3,2154,1758,273400,2164,904,1621,1973,3.03,96.9,14.6,97.8,96.7,99.0,46.2,1.3,1.6,71.3,73.0,28.0,7.8
"Eldorado city, Illinois",23009,17,3836,33734,26177,5.3,18.8,769,49.9,96.6,1.1,1.3,2.4,0.0,3.1,5.8,89.9,2.1,1988,1171,45200,794,329,585,1716,2.17,81.3,6.1,76.7,68.5,85.0,11.1,35.5,6.4,44.4,41.5,22.3,26.5
"Elgin city, Illinois",23074,17,114156,79757,31673,7.6,26.8,13131,49.3,65.5,7.3,1.7,6.7,0.2,11.1,47.4,39.0,25.4,39550,26719,206800,1724,765,1116,38168,2.94,89.4,46.6,95.2,90.9,80.3,26.0,7.5,10.9,69.2,61.2,27.9,9.5
"Elizabeth village, Illinois",23165,17,921,43393,34960,6.7,17.7,251,52.1,98.2,1.6,0.3,0.3,0.0,1.1,1.6,96.6,0.8,498,299,89400,1058,430,781,467,1.92,82.4,2.8,77.1,70.2,88.4,25.7,8.0,10.2,64.4,54.0,28.3,13.0
"Elizabethtown village, Illinois",23191,17,293,13438,18387,4.1,11.9,99,51.5,98.0,6.8,2.0,0.0,0.0,7.2,0.0,90.8,0.0,267,85,52900,880,360,190,204,1.39,77.1,0.0,77.9,48.0,91.2,10.5,5.2,5.7,23.0,17.7,20.6,53.0
"Elk Grove Village village, Illinois",23256,17,32763,89187,42410,4.9,22.1,5997,52.0,83.4,3.7,0.4,13.0,0.1,5.9,11.6,72.0,23.2,13251,9435,293100,2012,794,1422,12627,2.58,89.8,32.1,94.7,90.9,94.4,39.8,5.6,5.9,67.6,61.0,27.1,5.5
"Elkhart village, Illinois",23269,17,505,77500,36079,4.8,24.2,106,53.1,99.6,0.8,2.6,0.8,0.0,8.1,5.1,90.3,0.0,246,191,107000,1140,400,674,224,2.25,90.8,0.8,87.5,75.0,96.1,32.8,7.9,6.3,67.4,58.4,23.3,2.4
"Elkville village, Illinois",23373,17,766,42557,20918,10.2,23.4,176,50.3,86.4,2.6,2.3,0.5,0.0,4.0,10.1,81.7,3.0,399,225,63400,888,379,654,339,2.26,89.7,9.2,87.9,82.6,80.7,11.3,22.4,8.9,53.2,47.9,25.1,24.8
"Elliott village, Illinois",23425,17,282,55341,28959,2.5,17.7,75,49.3,98.9,0.0,1.8,0.0,0.0,1.8,1.1,97.2,1.1,138,95,76200,814,419,788,129,2.19,81.1,1.8,89.1,73.6,87.5,9.0,8.3,11.0,59.0,59.2,20.7,14.0
"Ellis Grove village, Illinois",23503,17,313,57083,27106,6.4,28.8,42,48.9,100.0,0.0,1.0,0.0,0.0,1.0,0.0,99.0,0.0,153,93,69000,975,338,764,123,2.54,86.3,0.7,82.9,74.0,96.4,6.7,12.7,0.6,69.5,66.7,19.1,7.3
"Ellsworth village, Illinois",23555,17,210,51563,23426,7.1,20.0,35,53.8,100.0,1.9,0.5,0.0,0.0,2.4,0.0,97.6,1.0,88,74,102300,1039,438,545,85,2.47,93.2,0.0,92.9,82.4,90.5,12.2,30.1,10.0,62.4,59.4,27.2,29.5
"Elmhurst city, Illinois",23620,17,45661,128355,63417,6.3,24.8,7596,50.9,90.9,1.9,0.4,8.9,0.0,5.8,8.5,80.1,9.5,17172,13307,458700,2881,987,1620,16476,2.69,90.9,15.0,95.1,92.8,96.7,62.1,3.3,3.6,67.8,61.3,28.1,4.1
"Elmwood city, Illinois",23698,17,2484,78770,32723,8.7,30.0,351,54.3,99.2,0.4,0.2,1.8,0.0,1.6,3.7,93.9,0.5,993,688,129700,1220,581,661,877,2.83,93.9,0.2,91.8,85.7,95.4,34.3,3.6,1.9,70.4,66.7,25.7,11.3
"Elmwood Park village, Illinois",23724,17,24517,68833,33865,4.1,21.1,3767,51.9,76.6,2.2,1.3,5.4,0.0,7.7,36.0,55.8,25.7,9945,5753,278300,2042,785,1195,9232,2.64,89.7,47.2,91.3,84.9,90.4,29.0,6.4,8.9,66.7,61.7,34.7,5.5
"El Paso city, Illinois",23737,17,2896,58179,26751,3.6,26.0,444,45.6,97.7,3.3,0.0,0.0,0.0,1.2,0.5,96.2,2.5,1063,713,120600,1125,456,783,1003,2.71,88.8,2.7,87.4,71.0,92.0,18.9,11.3,8.3,58.0,58.8,27.9,10.5
"Elsah village, Illinois",23776,17,658,81250,12286,0.0,1.1,46,49.1,85.9,5.8,0.0,5.2,0.2,5.2,8.1,79.8,16.3,127,34,210000,1391,683,1347,49,1.76,79.5,20.2,95.9,95.9,94.1,63.4,4.3,10.0,63.7,59.8,9.6,7.4
"Elvaston village, Illinois",23841,17,193,37500,21471,4.1,19.2,22,40.4,95.3,4.7,0.0,0.0,4.7,4.7,1.0,89.6,0.0,92,68,73300,864,463,521,80,2.41,92.7,0.0,97.5,91.3,95.6,2.2,13.4,2.1,63.9,77.9,26.9,24.9
"Elwood village, Illinois",23945,17,2500,76339,36730,5.6,20.2,333,49.6,94.9,1.0,0.4,1.2,0.0,1.2,7.3,90.3,1.8,1007,828,181700,1651,579,1083,951,2.63,94.7,5.5,97.3,95.7,95.2,18.9,12.3,1.6,70.3,65.4,35.6,9.8
"Emden village, Illinois",23971,17,430,56458,30053,8.8,26.7,86,50.9,99.8,0.0,0.5,0.0,0.0,0.2,4.2,95.3,0.0,199,137,95500,993,464,746,199,2.16,96.7,0.5,89.9,85.9,93.7,20.2,7.4,4.9,61.8,57.2,29.9,8.4
"Emington village, Illinois",24062,17,89,60000,26018,10.1,27.0,12,48.3,100.0,0.0,1.1,0.0,0.0,1.1,0.0,98.9,10.1,37,28,50000,1150,450,688,34,2.62,92.6,11.3,85.3,82.4,95.1,19.7,15.1,3.4,60.0,52.9,25.9,2.2
"Energy village, Illinois",24166,17,1167,53882,29820,6.3,25.6,332,61.4,97.0,16.6,15.0,0.5,0.0,15.9,2.4,79.1,1.0,544,394,118200,1156,499,730,509,2.20,90.9,1.4,85.5,82.1,93.7,19.8,10.1,1.7,56.7,55.7,20.6,9.9
"Enfield village, Illinois",24179,17,677,34079,23301,3.1,24.7,118,56.4,99.1,0.9,0.7,0.0,0.0,1.2,1.0,96.9,1.0,303,200,44800,691,350,391,244,2.65,87.4,1.2,84.8,72.5,90.5,4.8,17.9,5.9,64.6,66.9,31.0,13.0
"Equality village, Illinois",24348,17,408,47083,26256,2.0,15.4,103,44.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.5,251,154,75600,1079,415,458,191,2.14,89.7,0.0,78.5,78.0,93.2,4.2,20.7,3.7,54.6,51.8,27.3,17.6
"Erie village, Illinois",24374,17,1747,83250,34854,6.1,30.9,319,49.3,98.7,0.0,1.1,0.6,0.0,0.4,1.5,97.1,0.3,823,540,136300,1144,538,689,792,2.21,90.8,0.4,86.0,82.2,94.3,19.6,5.5,20.1,67.1,62.8,19.1,6.3
"Essex village, Illinois",24452,17,1013,81000,40111,10.1,32.3,129,53.6,98.4,1.1,2.2,0.9,0.0,5.3,10.2,82.9,0.0,370,300,190000,1458,583,1112,342,2.96,92.1,1.6,94.7,90.1,96.0,18.1,7.5,0.9,68.0,66.0,33.9,5.3
"Eureka city, Illinois",24543,17,5569,48902,31918,6.2,18.2,1048,53.8,94.1,1.9,0.7,1.6,0.0,2.5,5.0,90.9,1.3,2267,1366,151400,1422,557,788,2211,2.24,83.3,2.7,95.2,88.6,93.7,33.1,9.8,4.0,64.0,57.1,18.4,10.3
"Evanston city, Illinois",24582,17,78454,87345,57626,5.1,19.1,12888,51.3,70.5,18.2,1.2,11.3,0.1,7.8,11.8,58.5,17.2,33402,17070,410600,2586,1047,1526,30256,2.35,80.7,22.8,97.0,91.8,95.4,68.3,6.0,4.7,63.2,60.0,30.2,11.9
"Evansville village, Illinois",24608,17,802,60694,25579,5.9,30.5,150,45.3,100.0,0.0,0.1,0.0,0.0,0.2,0.1,99.8,0.0,365,262,73300,848,434,472,297,2.61,96.5,0.0,85.9,72.4,86.3,11.9,10.3,6.1,66.5,67.3,25.9,21.2
"Evergreen Park village, Illinois",24634,17,19884,85328,37440,7.2,24.4,3097,53.1,70.0,26.7,0.9,2.5,0.0,6.7,14.7,55.4,9.2,7762,6240,212600,1822,758,1160,7495,2.63,92.0,14.5,94.1,88.0,94.6,39.5,9.0,5.0,66.1,64.3,32.6,5.5
"Ewing village, Illinois",24673,17,369,63750,31285,0.8,19.2,93,48.2,100.0,0.0,2.4,0.0,0.0,2.4,0.0,97.6,0.0,187,123,64100,1050,425,738,160,2.31,93.8,0.0,89.4,85.0,89.1,21.5,12.2,8.1,60.5,43.8,24.5,9.2
"Fairbury city, Illinois",24764,17,3674,59456,31344,6.8,22.5,926,54.5,98.0,4.6,0.0,0.0,0.0,2.6,4.3,91.1,0.0,1669,1093,138600,1195,595,785,1601,2.26,83.8,1.4,87.0,78.4,90.9,14.5,9.1,2.3,57.2,51.1,17.9,2.2
"Fairfield city, Illinois",24816,17,4982,42083,25168,6.9,21.3,1025,50.2,95.0,3.7,0.4,0.8,0.0,1.0,1.6,93.8,2.3,2602,1509,80200,945,408,558,2333,2.12,83.2,3.4,80.4,73.0,86.5,15.3,15.6,5.9,55.6,50.9,18.3,21.7
"Fairmont CDP, Illinois",24920,17,2649,52444,18473,7.7,30.5,270,57.0,53.4,30.9,2.2,0.9,0.0,8.9,39.3,30.0,7.7,961,518,132500,969,478,1193,800,3.28,90.3,30.8,85.9,78.3,85.9,13.4,9.4,8.1,65.2,61.8,31.2,12.8
"Fairmont City village, Illinois",24933,17,2176,39247,20083,4.1,23.9,376,45.7,62.4,4.0,5.0,1.5,0.0,7.1,71.9,21.3,27.8,917,477,62800,1059,433,891,778,2.80,92.7,61.1,80.6,64.0,57.4,8.4,7.6,23.6,58.2,49.1,18.9,30.7
"Fairmount village, Illinois",24985,17,631,56719,25438,4.0,28.5,104,57.1,96.4,0.3,0.6,0.5,0.0,0.6,2.5,95.7,0.0,255,209,72300,872,400,688,243,2.60,93.7,0.8,93.8,83.5,94.1,12.2,9.2,6.8,70.7,69.9,26.3,8.6
"Fairview Heights city, Illinois",25141,17,16601,70825,34478,3.6,21.6,2843,49.1,63.1,38.8,3.4,3.3,0.0,9.0,3.5,52.0,3.4,8144,4456,141300,1239,543,1019,7062,2.35,83.7,4.1,94.6,84.1,92.8,33.1,13.0,4.4,64.3,59.1,23.9,8.8
"Farina village, Illinois",25375,17,722,35658,23474,7.1,20.1,190,48.5,100.0,0.0,1.5,0.0,0.0,1.5,0.0,98.5,0.6,261,187,74600,821,378,668,236,3.06,92.7,0.1,81.8,78.4,74.4,8.5,15.0,1.7,51.0,43.0,31.9,19.6
"Farmer City city, Illinois",25414,17,1890,51250,27225,5.9,22.9,361,52.9,100.0,0.4,0.5,0.0,0.0,0.5,0.5,99.5,0.0,897,673,113400,986,502,956,789,2.33,90.1,2.2,93.0,84.7,91.7,15.6,6.8,3.5,66.5,63.3,23.7,11.7
"Farmersville village, Illinois",25440,17,690,59423,27468,13.3,32.0,83,56.4,99.3,0.7,1.2,0.0,0.0,2.3,14.1,84.3,1.2,329,211,109900,1087,523,659,298,2.32,90.6,3.0,92.6,82.9,89.5,32.1,12.7,8.1,62.7,48.3,26.3,15.3
"Farmington city, Illinois",25531,17,2015,53563,29407,4.2,23.8,325,49.1,98.2,0.3,2.4,0.0,0.0,1.5,3.4,93.9,0.4,1013,593,81300,962,505,779,894,2.25,79.4,2.1,86.1,80.1,94.1,21.3,11.1,5.4,73.3,66.2,24.2,9.2
"Fayetteville village, Illinois",25713,17,395,58472,25471,13.2,27.3,81,52.9,100.0,0.0,0.0,0.0,0.0,0.0,12.9,87.1,4.6,174,108,73800,1083,487,758,147,2.69,94.0,14.6,93.2,74.8,80.1,10.3,9.7,12.4,55.3,49.0,27.8,9.9
"Fillmore village, Illinois",26077,17,257,42292,25467,1.6,10.5,68,50.6,98.1,0.0,2.7,1.9,0.0,2.7,0.0,95.3,1.9,143,105,56400,900,284,703,127,2.02,97.6,0.0,79.5,72.4,83.4,6.2,16.1,7.0,50.2,44.6,43.5,9.1
"Findlay village, Illinois",26116,17,670,50694,26382,7.2,20.1,165,48.4,98.4,0.0,0.1,1.5,0.0,0.1,0.3,97.9,1.5,342,240,69800,902,430,741,305,2.20,93.3,1.3,87.5,75.7,93.8,9.3,16.8,2.1,56.3,59.2,20.9,18.4
"Fisher village, Illinois",26194,17,1797,74504,36072,8.8,26.6,180,48.7,98.0,0.0,0.0,3.2,1.6,6.0,0.5,93.2,0.9,692,540,146600,1256,490,829,667,2.69,91.5,1.0,93.9,87.1,97.6,17.8,7.6,4.5,75.6,67.6,22.7,3.0
"Fithian village, Illinois",26233,17,544,62188,30676,2.0,19.9,129,48.3,95.6,3.1,0.0,0.0,0.0,0.6,2.0,94.9,0.6,240,202,99500,983,530,1042,231,2.35,97.2,2.4,99.1,92.2,96.8,19.2,17.3,0.9,48.0,40.3,26.3,10.5
"Flanagan village, Illinois",26311,17,911,68958,45279,2.3,20.3,320,55.0,98.7,1.9,0.0,1.0,0.0,1.5,2.2,95.5,0.9,477,294,99700,957,498,754,375,2.21,87.0,1.8,89.3,82.1,93.6,20.9,8.9,1.8,62.5,54.3,20.7,5.3
"Flat Rock village, Illinois",26350,17,414,42000,24845,8.5,21.5,63,55.1,100.0,0.0,1.2,0.0,0.0,1.2,0.0,98.8,0.0,195,153,53100,729,297,875,170,2.44,95.6,0.0,81.8,77.6,92.5,14.7,9.5,4.8,61.5,52.5,28.0,13.8
"Flora city, Illinois",26454,17,4798,50563,29007,1.5,17.4,1028,53.9,96.5,1.9,2.6,1.7,1.4,4.2,0.1,93.7,0.3,2390,1469,80200,922,390,667,2143,2.15,81.6,1.4,89.3,87.5,87.6,15.5,15.6,3.8,56.8,52.4,16.0,17.0
"Flossmoor village, Illinois",26571,17,9868,126085,57912,7.9,26.0,1719,52.8,32.8,65.4,0.2,4.9,0.0,4.2,1.6,28.6,7.2,3601,3220,258300,2545,1409,2108,3519,2.79,89.6,6.1,98.6,94.2,98.7,66.0,7.0,3.8,65.1,60.8,41.9,7.9
"Ford Heights village, Illinois",26710,17,1718,37885,14586,5.5,27.7,277,52.5,7.2,98.1,0.0,0.3,0.0,6.4,2.9,0.9,0.0,856,250,48300,1340,319,902,586,2.93,84.8,0.6,87.4,85.2,85.3,7.7,30.6,11.2,43.5,38.2,24.3,37.6
"Forest City village, Illinois",26753,17,279,57500,21818,10.8,37.3,41,48.0,100.0,4.3,0.4,0.0,0.0,5.7,1.1,94.3,0.0,106,80,53800,944,430,850,102,2.74,87.0,2.0,93.1,85.3,92.5,17.8,4.5,2.9,53.1,39.8,32.3,18.3
"Forest Park village, Illinois",26935,17,14297,72827,47658,5.1,14.5,2518,53.1,62.1,30.3,0.8,6.4,0.0,6.0,7.7,54.2,8.2,7608,3522,265100,2045,699,1164,6961,2.02,84.9,11.9,92.5,86.9,95.3,48.3,11.2,5.8,69.2,68.1,31.7,10.5
"Forest View village, Illinois",26987,17,1298,97500,34807,13.3,31.8,207,47.5,80.7,0.2,1.2,0.4,0.0,1.6,54.7,44.5,9.4,369,327,209100,1868,826,1625,356,3.65,89.9,31.1,93.8,91.3,91.8,17.8,5.5,6.9,69.7,56.6,27.1,2.3
"Forrest village, Illinois",27026,17,1012,63500,31830,6.2,23.6,144,52.9,96.6,1.7,0.8,0.0,1.3,3.4,2.6,92.4,0.7,493,354,91300,973,449,603,456,2.22,87.6,0.7,95.8,90.4,93.7,15.9,9.1,2.9,72.3,73.6,23.3,11.8
"Forreston village, Illinois",27065,17,1336,60648,27631,4.4,27.3,281,47.3,96.6,4.3,1.3,0.6,0.0,4.6,10.3,83.5,1.7,587,419,98300,965,474,699,534,2.50,93.6,9.6,92.7,84.8,90.4,14.1,13.2,3.4,55.5,50.7,27.2,7.6
"Forsyth village, Illinois",27091,17,3674,96875,54810,8.7,28.9,696,47.2,95.6,0.8,0.4,5.5,0.0,3.1,1.7,91.1,4.2,1384,1275,244500,1898,688,1236,1356,2.70,89.0,9.8,95.5,91.8,98.2,55.3,7.3,1.0,56.5,44.1,16.9,9.8
"Fox Lake village, Illinois",27442,17,10945,64221,37239,6.5,17.8,2182,55.5,94.0,4.3,1.3,1.7,0.7,7.4,11.0,82.3,5.6,5553,3462,187300,1609,775,1049,4929,2.21,89.1,10.8,88.7,84.5,90.1,22.4,18.1,6.4,62.0,60.3,39.6,13.1
"Fox Lake Hills CDP, Illinois",27455,17,2396,92159,39831,7.7,22.8,479,50.8,94.9,3.8,6.8,0.4,0.4,15.6,18.4,75.6,10.5,972,780,190100,1796,780,1583,888,2.70,97.3,11.8,93.1,91.7,95.0,26.2,7.3,3.1,64.2,61.9,39.2,8.0
"Fox River Grove village, Illinois",27533,17,4710,109645,46745,5.0,23.5,535,54.9,95.6,0.1,0.3,4.0,0.0,10.2,15.0,80.9,10.4,1884,1417,237200,2098,690,1250,1735,2.71,85.9,14.4,100.0,97.3,98.5,45.8,3.5,4.5,71.8,69.7,35.0,2.0
"Frankfort village, Illinois",27624,17,20040,145645,53589,4.6,28.3,3147,50.6,86.8,9.9,0.1,4.2,0.0,4.0,5.4,80.8,6.6,6699,6015,389500,2879,1183,1863,6405,3.11,91.7,8.5,98.3,93.9,98.1,56.4,6.1,3.5,69.4,62.3,36.4,2.2
"Frankfort Square CDP, Illinois",27644,17,9214,117625,39769,3.6,24.4,967,51.0,93.3,7.0,0.8,6.8,0.2,9.6,7.1,79.6,2.7,3230,2866,238200,1956,699,1294,3124,2.95,95.2,5.5,99.2,98.3,97.4,31.6,6.5,2.3,78.7,77.0,30.3,3.7
"Franklin village, Illinois",27663,17,680,68393,37519,5.9,33.2,91,37.6,99.6,0.0,0.1,0.4,0.0,0.1,0.0,99.4,1.8,281,185,93500,1171,456,808,237,2.87,96.0,2.2,88.6,79.3,94.1,23.9,13.8,2.8,64.8,63.5,30.3,3.9
"Franklin Grove village, Illinois",27689,17,1008,50302,27955,3.6,24.1,272,51.6,99.5,0.8,3.2,0.2,0.0,8.0,10.0,88.1,2.3,420,251,97900,988,389,807,401,2.28,80.3,2.4,80.0,74.6,90.1,18.2,5.3,3.7,58.1,53.8,24.9,11.0
"Franklin Park village, Illinois",27702,17,18435,70221,27865,4.4,23.8,2314,51.5,76.6,1.6,1.6,4.9,0.0,18.3,55.1,40.4,29.1,6432,4335,220800,1864,770,1044,5915,3.11,95.4,60.9,93.0,88.2,77.7,16.1,9.0,13.5,69.3,66.5,27.3,12.7
"Freeburg village, Illinois",27806,17,4195,65188,34716,3.6,22.7,728,52.5,99.7,1.4,1.2,0.0,0.4,3.7,0.8,95.1,0.7,1679,1217,192300,1619,612,1001,1635,2.44,84.9,2.4,93.1,89.6,97.6,32.1,11.6,2.6,65.7,63.6,23.8,12.1
"Freeport city, Illinois",27884,17,24087,41831,26321,7.1,22.3,5559,53.1,81.5,22.4,0.6,1.8,0.2,8.5,6.1,69.6,2.4,12041,6411,71000,973,486,692,10828,2.16,85.1,3.9,87.7,81.1,90.3,19.8,18.8,7.1,57.2,54.6,18.0,20.3
"Fulton city, Illinois",28144,17,3496,52632,36007,6.8,19.9,793,49.7,98.7,0.9,0.9,0.6,0.0,1.1,0.3,97.3,1.8,1760,1164,106800,1134,477,774,1626,2.12,89.2,4.2,85.5,84.8,92.1,20.9,12.6,3.8,54.8,45.3,19.1,11.7
"Gages Lake CDP, Illinois",28248,17,10445,98009,46436,5.6,23.0,1317,47.8,84.5,9.0,0.6,7.6,0.1,7.3,11.7,71.7,12.0,4095,3083,246200,1902,853,1541,3817,2.73,85.3,18.7,96.1,93.9,94.1,39.7,6.3,6.7,71.0,68.4,28.7,5.7
"Galatia village, Illinois",28261,17,1039,47250,29653,3.9,22.4,228,56.8,97.2,0.0,1.5,2.0,1.8,3.3,1.3,93.4,0.4,435,297,68300,827,425,625,389,2.65,80.6,3.4,86.6,81.2,92.6,11.9,16.3,2.1,57.0,53.9,39.1,13.6
"Galena city, Illinois",28300,17,3212,57632,41915,2.4,15.1,1073,53.5,99.2,0.5,0.0,0.3,0.0,0.0,11.6,87.6,6.9,2007,1056,153800,1319,581,721,1690,1.85,85.6,11.4,82.0,82.3,88.2,31.6,14.4,6.0,57.0,46.5,17.9,9.4
"Galesburg city, Illinois",28326,17,30298,39115,23021,5.1,17.3,6418,48.2,81.5,15.8,0.5,1.9,0.0,4.2,7.9,73.9,4.8,14499,7370,77700,893,404,613,12558,2.08,89.5,9.2,82.7,74.0,85.8,18.6,15.8,6.4,49.1,51.0,16.0,19.8
"Galva city, Illinois",28430,17,2527,51042,27322,8.1,24.1,528,51.4,98.5,0.6,0.4,1.1,0.2,3.1,3.0,94.1,1.6,1220,857,71700,1015,419,697,1079,2.34,91.7,3.0,86.3,74.0,91.7,26.7,12.5,4.4,60.1,58.2,24.9,19.5
"Gardner village, Illinois",28638,17,1386,73203,36428,4.6,15.2,208,46.8,95.8,0.6,0.2,2.9,0.0,10.0,12.8,83.5,4.2,590,411,147600,1520,553,866,519,2.67,97.7,7.4,93.4,87.9,90.7,15.2,6.1,2.7,69.6,60.8,31.6,9.2
"Gays village, Illinois",28807,17,177,71250,32355,4.5,19.2,41,53.7,97.7,0.0,4.0,0.0,0.0,2.3,0.0,95.5,1.1,80,69,85600,895,331,792,80,2.21,92.6,1.2,93.8,88.8,95.5,16.5,2.0,2.8,61.9,55.4,24.9,5.1
"Geneseo city, Illinois",28846,17,6774,59327,35936,1.6,23.2,1783,53.7,97.9,0.3,0.3,1.8,0.0,3.6,3.3,94.4,0.8,3358,2297,164000,1168,586,863,3028,2.21,88.8,3.4,87.2,79.6,98.2,31.8,9.0,2.3,59.7,55.5,17.0,6.4
"Geneva city, Illinois",28872,17,21472,126759,60161,4.1,25.4,3203,52.8,93.0,1.7,0.4,4.2,0.0,3.5,8.8,84.8,6.1,8265,6736,348700,2493,1085,1684,7964,2.68,91.2,9.0,97.7,97.6,97.5,61.3,5.1,3.0,70.1,63.7,28.5,2.4
"Genoa city, Illinois",28898,17,5139,74676,35533,7.7,16.6,721,46.2,90.7,0.8,1.0,1.0,0.0,1.9,12.2,84.6,7.5,1982,1289,166800,1489,731,953,1982,2.59,84.3,9.0,96.6,91.9,87.7,15.3,10.9,3.6,71.2,72.1,31.6,5.9
"Georgetown CDP, Illinois",28950,17,417,66071,32027,10.3,28.5,50,66.9,89.9,4.1,0.0,13.2,0.0,7.2,0.0,82.7,7.0,210,158,86400,883,428,1141,204,2.04,98.6,5.1,96.6,92.2,100.0,54.9,17.3,4.1,76.2,60.7,12.5,28.3
"Georgetown city, Illinois",28963,17,3182,49484,29962,4.0,16.4,702,47.5,93.1,7.1,0.9,0.0,0.3,0.9,1.3,91.1,0.1,1661,1069,67200,890,386,696,1455,2.19,92.1,0.5,80.3,78.2,96.3,14.6,17.8,6.3,56.6,50.7,28.6,11.4
"Germantown village, Illinois",29041,17,1220,67031,35911,2.0,24.1,222,50.7,98.0,0.7,0.2,0.0,0.0,1.0,1.7,97.1,0.3,571,468,152400,1189,504,702,548,2.22,95.7,2.3,75.5,77.0,91.5,27.4,9.8,3.5,62.0,57.2,26.2,5.4
"German Valley village, Illinois",29093,17,527,64519,26652,10.2,31.1,58,43.6,99.4,0.0,0.2,0.6,0.0,0.2,0.0,99.2,0.8,223,155,106000,1134,509,663,197,2.68,97.7,0.2,94.4,87.3,95.7,23.9,11.5,3.8,71.7,69.1,26.7,7.6
"Gibson City city, Illinois",29125,17,3593,47091,30041,5.4,22.3,637,51.2,95.0,3.6,0.8,0.3,0.0,3.3,4.9,91.1,3.0,1660,1153,105500,1321,463,615,1599,2.19,85.2,3.6,89.4,85.0,89.2,21.9,12.0,10.5,63.4,60.0,22.5,10.2
